dataset,surrogate,target,attack,sample_id,success,queries,steps,linf,error
cifar10,resnet18,vgg16,static_hybrid,22,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,23,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,24,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,25,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,26,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,27,False,426,25,0.03137257695198059,
cifar10,resnet18,vgg16,static_hybrid,28,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,29,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,30,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,31,False,426,25,0.03137257695198059,
cifar10,resnet18,vgg16,static_hybrid,32,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,33,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,34,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,35,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,36,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,37,False,426,25,0.03137257695198059,
cifar10,resnet18,vgg16,static_hybrid,38,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,39,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,40,True,34,2,0.01568630337715149,
cifar10,resnet18,vgg16,static_hybrid,41,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,42,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,43,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,44,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,45,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,46,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,47,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,48,False,426,25,0.03137257695198059,
cifar10,resnet18,vgg16,static_hybrid,49,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,50,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,51,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,52,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,53,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,54,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,55,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,56,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,57,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,58,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,59,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,60,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,61,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,62,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,63,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,64,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,65,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,66,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,67,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,68,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,69,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,70,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,71,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,72,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,73,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,74,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,75,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,76,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,77,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,78,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,79,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,80,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,81,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,82,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,83,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,84,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,85,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,86,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,87,False,426,25,0.03137257695198059,
cifar10,resnet18,vgg16,static_hybrid,88,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,89,True,17,1,0.007843166589736938,
cifar10,resnet18,vgg16,static_hybrid,90,True,17,1,0.007843166589736938,
